SAUID,system,dia_mm,year,length_m
22258,汚水,150.0,,26.93911431523984
22259,雨水,800.0,,84.72928431268116
22261,汚水,150.0,2018.0,15.152153540405937
22262,汚水,150.0,2018.0,1.3603635543605326
22263,汚水,150.0,2017.0,10.325177092908453
22264,汚水,150.0,2017.0,10.652530638303297
22265,汚水,150.0,2017.0,19.212530520474143
22266,汚水,150.0,2017.0,15.427840451589482
22267,汚水,150.0,2017.0,27.586822433915525
22268,汚水,150.0,2017.0,16.688057346499946
22269,汚水,150.0,2017.0,19.8311193834271
22270,汚水,150.0,2017.0,11.288941890186779
22271,汚水,150.0,2017.0,14.153840044316695
22272,汚水,150.0,2018.0,11.386584514391965
22273,汚水,150.0,2018.0,12.74752501468442
22274,汚水,150.0,2018.0,25.0763897919929
22276,汚水,150.0,2018.0,3.163419826697943
22277,汚水,150.0,,26.070708224037347
22278,汚水,150.0,,14.543777442255887
22279,汚水,150.0,,37.52117776374653
22281,汚水,150.0,2017.0,33.185062882726214
22283,汚水,150.0,2018.0,21.891798667734026
22284,汚水,150.0,2018.0,28.554626324592327
22285,汚水,150.0,2018.0,9.288322645075281
22287,汚水,150.0,2017.0,8.352380820920818
22288,汚水,150.0,2017.0,42.92483489825662
22289,汚水,150.0,2017.0,9.383516730137528
22290,汚水,150.0,2017.0,16.996177518306872
22291,汚水,150.0,2017.0,31.456113462330187
22292,汚水,150.0,2017.0,4.098247552314762
22294,雨水,600.0,2018.0,6.62150707920809
22295,雨水,600.0,2018.0,4.704816657666342
22296,雨水,600.0,2018.0,18.975025744383935
22298,汚水,150.0,2018.0,7.475453497954197
22299,汚水,150.0,,34.3548602966147
22300,汚水,150.0,2018.0,4.646499435057996
22302,汚水,150.0,2018.0,17.519206203478742
22304,雨水,1000.0,2018.0,34.16249248573985
22305,雨水,1000.0,2018.0,80.85919266053637
22306,雨水,400.0,2018.0,57.782722351833876
22307,雨水,600.0,2018.0,57.67347455085268
22308,雨水,400.0,2018.0,1.9215832014241376
22309,雨水,400.0,2018.0,2.2713273654374473
22310,汚水,150.0,2017.0,45.156861623679774
22312,汚水,150.0,2018.0,6.7466206355461065
22313,汚水,250.0,,36.853775336702085
22314,汚水,200.0,2017.0,14.789058551369504
22315,汚水,150.0,2017.0,20.556994065074228
22316,汚水,150.0,2017.0,7.40294820513834
22318,汚水,150.0,2017.0,4.7260560045776385
22319,汚水,150.0,2018.0,46.26126043554386
22320,汚水,150.0,2018.0,57.18111790449674
22321,汚水,150.0,2018.0,44.47515895168007
22322,汚水,150.0,2018.0,54.65900962975154
22323,汚水,150.0,2018.0,53.063199403528166
22324,汚水,150.0,2018.0,7.5062974228342965
22325,汚水,150.0,2018.0,20.027791540756674
22326,汚水,150.0,2018.0,5.402487667733747
22328,汚水,200.0,1995.0,26.747148582751194
22329,汚水,150.0,2016.0,19.378946935078275
22330,汚水,200.0,1998.0,3.2190744011215147
22331,汚水,150.0,2018.0,28.964730000467775
22332,汚水,150.0,,22.503899519040246
22334,汚水,200.0,,6.408964034846443
22336,雨水,400.0,2008.0,14.134636999357149
22337,汚水,150.0,2019.0,30.476997555532837
22338,汚水,200.0,1996.0,19.8890950020484
22341,汚水,150.0,,38.0755007977583
22342,汚水,150.0,,64.496449522432
22343,汚水,150.0,,64.5069118234576
22344,汚水,150.0,,41.24268610311308
22345,汚水,150.0,,8.303072202510258
22346,汚水,150.0,,4.0279420303737545
22347,雨水,500.0,2018.0,28.117251821613575
22348,雨水,500.0,2018.0,13.261179924874781
22350,汚水,200.0,2019.0,4.390182911912363
22351,汚水,150.0,2018.0,11.186075138315264
22352,汚水,150.0,2018.0,5.598512391696745
22353,汚水,150.0,2018.0,2.887275012879052
22354,汚水,50.0,,17.215257992182124
22355,汚水,150.0,2018.0,27.348163082738285
22357,汚水,150.0,2018.0,13.48557633177348
22359,汚水,150.0,2019.0,46.514449475405264
22360,汚水,150.0,2019.0,49.08270587488005
22361,汚水,150.0,2019.0,49.83583949328311
22362,汚水,150.0,2019.0,47.07507124794974
22363,汚水,150.0,2019.0,56.34441378699657
22364,汚水,150.0,2019.0,56.27007590184861
22365,汚水,150.0,2019.0,57.89420755136072
22366,汚水,150.0,2019.0,56.820028951064735
22367,雨水,500.0,2019.0,3.30894499802459
22368,汚水,250.0,,6.574506293247424
22369,汚水,150.0,2004.0,9.047420958480615
22370,汚水,150.0,2004.0,40.87267735296746
22371,雨水,1200.0,,21.161398654149178
22372,雨水,300.0,2019.0,2.5625569261992847
22373,汚水,250.0,2019.0,26.992699327783058
22374,汚水,250.0,2019.0,14.830218508165869
22375,汚水,250.0,2019.0,15.952299395381477
22376,汚水,250.0,2019.0,31.260162267651754
22377,汚水,250.0,2019.0,38.49248650061591
22378,汚水,150.0,,16.66246392344262
22379,汚水,250.0,2020.0,45.828090741380514
22380,雨水,500.0,2020.0,43.44935706083957
22382,雨水,600.0,2020.0,19.939954864542845
22383,雨水,600.0,2020.0,41.13214696561362
22384,雨水,700.0,2020.0,51.49948863824007
22385,雨水,700.0,2020.0,46.776330125383296
22386,雨水,700.0,2020.0,35.58058765676431
22387,雨水,700.0,2020.0,15.943936684512176
22388,雨水,700.0,2020.0,31.983040662201123
22390,汚水,150.0,2019.0,6.203533912218656
22391,汚水,150.0,2019.0,21.830515339773235
22392,汚水,150.0,,25.611873047474692
22393,汚水,75.0,2020.0,6.095522947204601
22394,汚水,150.0,2020.0,20.214770441436936
22395,雨水,400.0,2019.0,77.16091611690817
22396,雨水,600.0,2020.0,29.942066895921847
22397,汚水,150.0,,78.26464604149102
22398,汚水,150.0,,27.976519458290916
22399,汚水,150.0,,40.30213954618711
22400,汚水,150.0,2006.0,13.465430776622245
22401,汚水,200.0,,6.429497725328089
22402,汚水,150.0,,41.397022622400506
22403,汚水,150.0,,83.66233852815763
22404,汚水,150.0,,16.205450471985845
22405,汚水,150.0,,90.66802188754097
22406,汚水,150.0,,73.42808325157961
22408,汚水,150.0,,39.66174176709145
22409,汚水,150.0,,41.42993151093747
22410,汚水,200.0,,15.877307989694987
22411,汚水,200.0,,16.325330900172517
22412,汚水,200.0,,15.863878624099321
22413,汚水,200.0,,12.317892392766414
22414,汚水,150.0,,18.86107367038921
22415,汚水,150.0,,16.17087981528225
22416,雨水,450.0,2020.0,32.989692162854325
22417,雨水,450.0,2020.0,44.05814913270673
22418,雨水,450.0,2020.0,4.030089949357914
22419,雨水,400.0,2020.0,51.741914344176976
22420,雨水,450.0,2020.0,13.368353152125067
22421,雨水,450.0,2020.0,53.58405854356699
22422,汚水,150.0,,22.203028284447694
22423,雨水,600.0,2020.0,50.61478242569284
22424,雨水,900.0,,38.8876801699483
22425,雨水,400.0,2020.0,3.3277363176814263
22426,雨水,400.0,2020.0,8.98917404437531
22427,雨水,400.0,2020.0,26.140107497862314
22428,雨水,350.0,2020.0,4.343267433625845
22429,雨水,600.0,2020.0,27.867660271362805
22430,雨水,600.0,2020.0,33.97200847757412
22431,雨水,600.0,2020.0,7.088126550789979
22432,雨水,800.0,,4.931199651199611
22433,雨水,800.0,,21.379591249601447
22434,雨水,800.0,,56.03003217220538
22435,汚水,150.0,2020.0,27.082402349130803
22436,汚水,150.0,2020.0,17.989882712236575
22437,汚水,150.0,2020.0,10.788926637985803
22438,汚水,150.0,2020.0,7.429400043080316
22439,汚水,150.0,2020.0,6.324365580828793
22440,汚水,150.0,,4.116703778507704
22441,汚水,150.0,,44.65847469406027
22442,汚水,150.0,,45.053598502226514
22443,汚水,150.0,,43.63278283584457
22444,汚水,150.0,,35.772138949185404
22445,雨水,2600.0,,7.424053946461659
22446,雨水,2600.0,,49.83464944193144
22447,雨水,2600.0,,88.10617297329615
22448,雨水,2600.0,,166.8233809272527
22449,雨水,2600.0,,171.77647206180762
22450,雨水,2600.0,,10.792937737238583
22451,雨水,1200.0,,630.1748179014472
22452,雨水,2000.0,,12.176667852907311
22453,雨水,2000.0,,19.80804788463403
22454,雨水,2000.0,,30.515467717206114
22455,汚水,150.0,,8.069285780041461
22456,汚水,150.0,,10.197302829666489
22457,汚水,150.0,2022.0,13.699128731419176
22458,汚水,150.0,2022.0,20.98900343036605
22459,汚水,150.0,2022.0,26.738352417461414
22460,汚水,150.0,2022.0,9.54933484594644
22461,汚水,150.0,,13.093976974166827
22462,汚水,150.0,,5.3866421822834
22463,汚水,150.0,2021.0,47.84588042872002
22464,汚水,200.0,1996.0,11.36143639686424
22465,汚水,150.0,,38.89464572406039
22466,汚水,150.0,2003.0,24.622793606737456
