SAUID,system,dia_mm,road_up,road_dn,length_m
2259,汚水,200.0,愛知県,愛知県,11.802457400027258
17738,汚水,200.0,愛知県,愛知県,11.681668591826277
16104,汚水,150.0,愛知県,愛知県,11.64876012186198
17716,汚水,200.0,愛知県,愛知県,11.505279230354772
5802,雨水,600.0,愛知県,愛知県,11.366000063875964
11692,雨水,300.0,建設省,建設省,11.205514193257185
11648,雨水,400.0,建設省,建設省,10.95887406364176
10566,汚水,250.0,愛知県,愛知県,10.927851585254928
9273,汚水,250.0,愛知県,愛知県,10.871212376230432
20540,雨水,300.0,建設省,建設省,10.786892978213972
14759,汚水,150.0,建設省,建設省,10.771283325372528
11731,雨水,,建設省,建設省,10.721700717150597
6400,汚水,150.0,建設省,建設省,10.687800340360361
1423,汚水,200.0,愛知県,愛知県,10.668257784567684
1334,汚水,150.0,愛知県,愛知県,10.426523203461988
11670,雨水,400.0,建設省,建設省,10.341039126874676
8962,汚水,200.0,愛知県,愛知県,10.210618531481684
19976,雨水,450.0,建設省,建設省,10.154005424368737
19918,雨水,2000.0,建設省,建設省,10.131221735712
10324,汚水,300.0,愛知県,愛知県,10.11100528970442
11702,雨水,300.0,建設省,建設省,9.940419759801292
5019,汚水,200.0,愛知県,愛知県,9.84330419615119
7637,汚水,200.0,愛知県,愛知県,9.827576046649272
5725,雨水,600.0,愛知県,愛知県,9.792070799526726
6891,汚水,150.0,愛知県,愛知県,9.750674418624172
14752,汚水,150.0,建設省,建設省,9.723514985366426
19955,雨水,900.0,愛知県,愛知県,9.531522634396273
7510,汚水,200.0,愛知県,愛知県,9.445899330500964
7627,汚水,200.0,愛知県,愛知県,9.382533513469419
11681,雨水,300.0,建設省,建設省,9.228877533564498
5029,汚水,200.0,愛知県,愛知県,9.031507461153545
7628,汚水,200.0,愛知県,愛知県,9.029073971084282
17447,汚水,200.0,建設省,建設省,8.663371438813716
16099,汚水,150.0,愛知県,愛知県,8.621156392166862
9000,汚水,150.0,建設省,建設省,8.376405959059788
11650,雨水,400.0,建設省,建設省,8.31851186887364
11665,雨水,400.0,建設省,建設省,8.208886964025359
11652,雨水,400.0,建設省,建設省,8.175542888572094
15708,汚水,200.0,愛知県,愛知県,8.171906231761053
5287,汚水,200.0,愛知県,愛知県,8.162085153330457
7390,汚水,200.0,愛知県,愛知県,8.159622092568076
11662,雨水,400.0,建設省,建設省,8.159476463865452
6345,汚水,200.0,建設省,建設省,8.112674900751953
11666,雨水,400.0,建設省,建設省,8.083210226646415
11664,雨水,400.0,建設省,建設省,8.059909463834408
11654,雨水,450.0,建設省,建設省,8.031090238349256
11661,雨水,400.0,建設省,建設省,7.984668563153293
11653,雨水,400.0,建設省,建設省,7.983237661779059
11663,雨水,400.0,建設省,建設省,7.971583927150595
20639,汚水,100.0,愛知県,愛知県,7.918737904486392
11651,雨水,400.0,建設省,建設省,7.843975272899774
10575,汚水,250.0,愛知県,愛知県,7.588013502956226
6328,汚水,150.0,建設省,建設省,7.507788848719782
19944,雨水,800.0,建設省,建設省,7.487494126698932
19982,雨水,450.0,建設省,建設省,7.44100210402869
3602,汚水,350.0,建設省,建設省,7.431337935650902
11659,雨水,450.0,建設省,建設省,7.406600326150653
6309,汚水,200.0,建設省,建設省,7.306591903625956
4849,汚水,200.0,愛知県,愛知県,7.197265110157328
179,汚水,200.0,愛知県,愛知県,6.786091433761131
16112,汚水,250.0,愛知県,愛知県,6.670545214081474
8351,汚水,150.0,建設省,建設省,6.444643841778386
8276,汚水,150.0,建設省,建設省,6.367774574445317
6343,汚水,200.0,建設省,建設省,6.223176585530128
5735,雨水,800.0,愛知県,愛知県,6.107426665252408
10565,汚水,250.0,愛知県,愛知県,6.056827970298778
8294,汚水,150.0,建設省,建設省,6.006448240068191
6890,汚水,150.0,愛知県,愛知県,5.999188304649831
15738,汚水,150.0,愛知県,愛知県,5.994257885367506
5288,汚水,200.0,愛知県,愛知県,5.905327432057362
13222,汚水,150.0,建設省,建設省,5.846534067371266
1488,汚水,200.0,愛知県,愛知県,5.788747803724682
6892,汚水,150.0,愛知県,愛知県,5.768399834948135
2410,汚水,350.0,愛知県,愛知県,5.749465806259943
11475,雨水,2000.0,愛知県,愛知県,5.632704386654852
16109,汚水,250.0,愛知県,愛知県,5.562214071147968
11649,雨水,400.0,建設省,建設省,5.528403504104185
19957,雨水,1350.0,愛知県,愛知県,5.526774786954512
6893,汚水,150.0,愛知県,愛知県,5.521072012083255
11686,雨水,300.0,建設省,建設省,5.49720127141126
5983,雨水,800.0,建設省,建設省,5.460892910247523
5285,汚水,200.0,愛知県,愛知県,5.437668757193812
2953,汚水,300.0,建設省,建設省,5.3431416583690705
8998,汚水,150.0,建設省,建設省,5.312517696166556
6356,汚水,150.0,建設省,建設省,5.232327587249327
9295,汚水,250.0,愛知県,愛知県,5.221651914949874
177,汚水,200.0,愛知県,愛知県,5.1970220877941795
10630,汚水,150.0,愛知県,愛知県,5.187133077678509
15709,汚水,200.0,愛知県,愛知県,5.02034718851986
2215,汚水,200.0,愛知県,愛知県,4.928535254303536
5452,汚水,200.0,愛知県,愛知県,4.904507263622596
19978,雨水,450.0,建設省,建設省,4.768365840692318
10338,汚水,200.0,愛知県,愛知県,4.695010693109329
7131,汚水,200.0,愛知県,愛知県,4.637360036719106
14753,汚水,150.0,建設省,建設省,4.513166642231935
10573,汚水,250.0,愛知県,愛知県,4.463908938214276
20707,汚水,200.0,愛知県,愛知県,4.38450818222232
