SAUID,sewer_type,length_m,mouth_share,mouth_m,near_m,middle_m
22149,汚水,8.011501794307208,1.0,8.01,0.0,0.0
22150,汚水,60.52415019745053,0.165,10.0,10.0,40.52
22151,汚水,5.275830550733354,1.0,5.28,0.0,0.0
22152,汚水,5.1244788510369,1.0,5.12,0.0,0.0
22153,汚水,11.04101648400116,0.906,10.0,1.04,0.0
22154,汚水,14.299130498037924,0.699,10.0,4.3,0.0
22155,汚水,10.045428922262065,0.995,10.0,0.05,0.0
22156,汚水,13.81199353520099,0.724,10.0,3.81,0.0
22157,汚水,7.90134482328194,1.0,7.9,0.0,0.0
22158,汚水,5.809545621372786,1.0,5.81,0.0,0.0
22159,汚水,43.15963329467505,0.232,10.0,10.0,23.16
22160,汚水,19.32883346148357,0.517,10.0,9.33,0.0
22161,汚水,29.433919699214382,0.34,10.0,10.0,9.43
22162,汚水,18.84876317930659,0.531,10.0,8.85,0.0
22163,汚水,5.644304828769623,1.0,5.64,0.0,0.0
22164,汚水,54.27176747692491,0.184,10.0,10.0,34.27
22165,汚水,17.401805797101023,0.575,10.0,7.4,0.0
22166,汚水,9.711133919374818,1.0,9.71,0.0,0.0
22167,汚水,19.450738733583314,0.514,10.0,9.45,0.0
22168,汚水,29.694939827133673,0.337,10.0,10.0,9.69
22169,汚水,5.342017689983935,1.0,5.34,0.0,0.0
22170,汚水,21.62607208902998,0.462,10.0,10.0,1.63
22171,汚水,9.431337086470723,1.0,9.43,0.0,0.0
22172,汚水,31.205006404080176,0.32,10.0,10.0,11.21
22173,汚水,30.11147356341357,0.332,10.0,10.0,10.11
22174,汚水,29.910138778718228,0.334,10.0,10.0,9.91
22175,汚水,22.83259568333679,0.438,10.0,10.0,2.83
22176,汚水,48.06729197881235,0.208,10.0,10.0,28.07
22177,汚水,4.7934368672207,1.0,4.79,0.0,0.0
22178,汚水,17.486693854060515,0.572,10.0,7.49,0.0
22179,汚水,44.587081268051364,0.224,10.0,10.0,24.59
22180,汚水,7.272950755421487,1.0,7.27,0.0,0.0
22181,汚水,7.365415466895976,1.0,7.37,0.0,0.0
22182,汚水,32.83728102912042,0.305,10.0,10.0,12.84
22183,汚水,31.66648447408233,0.316,10.0,10.0,11.67
22184,汚水,47.97800020483099,0.208,10.0,10.0,27.98
22185,汚水,3.9191566694863016,1.0,3.92,0.0,0.0
22186,汚水,16.85908790533847,0.593,10.0,6.86,0.0
22187,汚水,6.157128226702797,1.0,6.16,0.0,0.0
22188,汚水,9.067164361295657,1.0,9.07,0.0,0.0
22189,汚水,3.3169458843911865,1.0,3.32,0.0,0.0
22190,汚水,12.552970468900845,0.797,10.0,2.55,0.0
22191,汚水,13.703234727610019,0.73,10.0,3.7,0.0
22192,汚水,14.367786085547982,0.696,10.0,4.37,0.0
22193,汚水,7.179813437690911,1.0,7.18,0.0,0.0
22194,汚水,7.275217742189065,1.0,7.28,0.0,0.0
22195,汚水,4.868603906659854,1.0,4.87,0.0,0.0
22196,汚水,6.142029064493109,1.0,6.14,0.0,0.0
22197,汚水,10.155863823431973,0.985,10.0,0.16,0.0
22198,汚水,13.142379883416806,0.761,10.0,3.14,0.0
22199,汚水,8.647531728765037,1.0,8.65,0.0,0.0
22200,汚水,8.074939504418472,1.0,8.07,0.0,0.0
22201,汚水,11.694017139851901,0.855,10.0,1.69,0.0
22202,汚水,1.8263696230632456,1.0,1.83,0.0,0.0
22203,汚水,4.364626215384506,1.0,4.36,0.0,0.0
22203,汚水,19.724822344280092,0.507,10.0,9.72,0.0
22204,汚水,60.48593675137321,0.165,10.0,10.0,40.49
22205,雨水,62.92401986754498,0.159,10.0,10.0,42.92
22206,雨水,43.77706956201894,0.228,10.0,10.0,23.78
22207,雨水,4.389524347798282,1.0,4.39,0.0,0.0
22208,雨水,33.243167794298834,0.301,10.0,10.0,13.24
22209,雨水,8.319849209872675,1.0,8.32,0.0,0.0
22210,雨水,29.306720065550657,0.341,10.0,10.0,9.31
22211,雨水,6.040776936771625,1.0,6.04,0.0,0.0
22212,雨水,15.673107317954477,0.638,10.0,5.67,0.0
22213,雨水,6.90438483863462,1.0,6.9,0.0,0.0
22214,雨水,10.108604750416916,0.989,10.0,0.11,0.0
22215,雨水,6.107428414253427,1.0,6.11,0.0,0.0
22217,汚水,37.88233678922204,0.264,10.0,10.0,17.88
22218,汚水,24.408471349677455,0.41,10.0,10.0,4.41
22219,汚水,19.296795053936194,0.518,10.0,9.3,0.0
22220,汚水,7.1696856276915515,1.0,7.17,0.0,0.0
22221,雨水,2.923390738068087,1.0,2.92,0.0,0.0
22222,雨水,22.921968040336417,0.436,10.0,10.0,2.92
22223,雨水,11.88047506140651,0.842,10.0,1.88,0.0
22224,雨水,39.08323807397892,0.256,10.0,10.0,19.08
22225,汚水,75.0799630394041,0.133,10.0,10.0,55.08
22226,汚水,74.8316986978196,0.134,10.0,10.0,54.83
22227,汚水,75.23779918365013,0.133,10.0,10.0,55.24
22228,汚水,19.81298183009981,0.505,10.0,9.81,0.0
22229,汚水,3.6929453015193654,1.0,3.69,0.0,0.0
22230,汚水,15.343583243319259,0.652,10.0,5.34,0.0
22231,汚水,18.465626387232525,0.542,10.0,8.47,0.0
22232,汚水,9.605806421130207,1.0,9.61,0.0,0.0
22233,汚水,39.776162973015545,0.251,10.0,10.0,19.78
22234,汚水,33.59284306216853,0.298,10.0,10.0,13.59
22235,汚水,19.45757579967639,0.514,10.0,9.46,0.0
22236,汚水,13.160683036992136,0.76,10.0,3.16,0.0
22237,汚水,54.141168064224985,0.185,10.0,10.0,34.14
22238,汚水,31.002757570906542,0.323,10.0,10.0,11.0
22239,汚水,4.0876346460902795,1.0,4.09,0.0,0.0
22240,汚水,34.69982238476678,0.288,10.0,10.0,14.7
22241,汚水,33.72855528984303,0.296,10.0,10.0,13.73
22242,汚水,2.652817370277536,1.0,2.65,0.0,0.0
22243,汚水,9.382615946521629,1.0,9.38,0.0,0.0
22244,汚水,35.20217683753004,0.284,10.0,10.0,15.2
22245,汚水,14.758040113780629,0.678,10.0,4.76,0.0
22246,汚水,19.247856452090975,0.52,10.0,9.25,0.0
22247,汚水,25.736215602389944,0.389,10.0,10.0,5.74
22248,汚水,22.576643014526177,0.443,10.0,10.0,2.58
